,att_map_x,att_map_y,vic_map_x,vic_map_y,round,winner_team,team_num
0,617.6942878820724,246.97073832790443,851.3827227400824,292.83973941368083,1,Ts win,Team 1
1,447.0297257749837,356.5767100977199,462.4184844461305,263.0133550488599,1,Ts win,Team 1
2,628.0808177975288,237.98528773072746,602.4548321320182,252.5985342019544,1,Ts win,Team 1
3,859.1389280294819,377.8085504885994,828.8714502492954,151.30271444082518,1,Ts win,Team 1
4,674.094935508346,268.67709011943543,844.9516312594841,277.5893051031487,1,Ts win,Team 1
5,446.24208080424887,295.72421281216066,617.5814545848689,255.22301845819766,1,Ts win,Team 1
6,570.1434532841969,285.0946254071662,657.9070087253414,230.52491856677523,1,Ts win,Team 1
7,851.9464285714286,496.7640336590663,847.2205181010189,362.9500814332248,2,Ts win,Team 1
8,803.3130825926729,549.0158251900109,848.8260351181443,380.8009500542888,2,Ts win,Team 1
9,839.5404292217646,661.670052931596,927.2418166052461,537.5144272529859,2,Ts win,Team 1
10,864.8364404942554,675.4547434853421,835.9529590288315,576.4839305103148,2,Ts win,Team 1
11,789.5001625840017,174.7836047774158,619.5387695100802,301.8792616720956,2,Ts win,Team 1
12,784.8986559722523,583.1223534201954,879.9834164318231,461.0745385450597,2,Ts win,Team 1
13,743.1032137437676,178.0213897937025,845.1029698677651,186.49728555917477,2,Ts win,Team 1
14,98.96517992629525,493.99739413680777,130.07031758075004,334.2473669923995,3,Ts win,Team 1
15,866.3110231953176,498.4861563517916,819.1917949273792,530.4076275787188,3,Ts win,Team 1
16,80.471656189031,299.4662323561346,207.67399197918925,123.54180238870788,3,Ts win,Team 1
17,204.8218350314329,541.242033116178,150.3479839583785,499.356460369164,3,Ts win,Team 1
18,282.2667461521786,176.98555917480996,240.1991383047908,164.85119435396314,3,Ts win,Team 1
19,235.25246585735962,144.13257328990233,124.66033492304358,349.9035830618892,3,Ts win,Team 1
20,103.59760459570778,461.89275244299677,269.3492846303924,518.9809989142236,3,Ts win,Team 1
21,771.0245637329286,508.05176438653643,872.6175753305874,552.2615092290988,4,CTs win,Team 2
22,860.0703446780836,323.6494842562432,740.6100558205072,233.935124864278,4,CTs win,Team 2
23,825.873997398656,112.44419109663409,857.412313028398,354.2150922909881,4,CTs win,Team 2
24,827.6554845003252,146.39788273615636,841.9646379796228,229.96482084690558,4,CTs win,Team 2
25,894.0451712551485,433.2793973941368,850.6380880121396,159.00684039087946,4,CTs win,Team 2
26,628.6698867331454,325.41628664495113,872.8339746368957,109.35651465798048,4,CTs win,Team 2
27,815.143941036202,180.95141150922905,808.4417678300455,238.8273615635179,4,CTs win,Team 2
28,614.3840505094299,353.06343648208474,745.2834245610231,167.39885993485348,4,CTs win,Team 2
29,769.1563651636679,202.73501628664496,802.8957565575547,198.03648208469053,5,Ts win,Team 1
30,856.4982657706481,593.6300488599348,701.7213039236939,560.1275922909881,5,Ts win,Team 1
31,477.78745528939953,414.35667752443,421.55867927595926,344.58520629750274,5,Ts win,Team 1
32,652.7539765337091,390.4208197611292,619.9291269239106,402.7783116178067,5,Ts win,Team 1
33,586.4074863158465,429.74522258414765,636.139029644483,396.27233984799136,5,Ts win,Team 1
34,686.771664318231,207.17937024972855,770.82125243876,266.62665580890337,5,Ts win,Team 1
35,845.399116626924,111.61764386536379,894.3281216128333,622.137282844734,5,Ts win,Team 1
36,624.3304790808585,381.67019543973936,673.6351479514416,171.7728555917481,5,Ts win,Team 1
37,623.4513060914805,355.9661780673181,761.6766204205506,176.1399565689468,5,Ts win,Team 1
38,840.6737481031867,161.8593376764386,641.5726344027747,281.4341476655809,5,Ts win,Team 1
39,102.55259592456102,493.1628664495114,117.13919900281812,326.21210640608035,6,Ts win,Team 1
40,101.07370474745285,380.7176981541802,135.37247994797312,319.20776330076,6,Ts win,Team 1
41,417.3764226100152,350.3897394136808,471.48349094949054,405.3850977198697,6,Ts win,Team 1
42,359.3973011055712,293.02763300760046,661.2031758075005,250.45076004343105,6,Ts win,Team 1
43,710.0730002167787,683.8051099348534,695.143222956861,648.3562703583061,6,Ts win,Team 1
44,113.52631151094732,380.01902823018463,141.3695534359419,227.81780673181322,7,Ts win,Team 1
45,556.9652806945047,431.439006514658,603.2391102590506,428.2125135722041,7,Ts win,Team 1
46,218.8059830912638,172.14668838219325,225.97452850639496,185.7596091205212,7,Ts win,Team 1
47,265.9382451766746,281.54934853420195,212.2933557337958,151.38539630836044,7,Ts win,Team 1
48,284.82286473011055,288.0641693811075,344.53108064166486,233.4024972855592,7,Ts win,Team 1
49,451.9801105571212,320.5086862106406,549.8429777259918,266.14788273615636,7,Ts win,Team 1
50,899.9079774550185,435.5402551574375,671.681403099935,622.9387350705755,8,Ts win,Team 1
51,676.8535253631043,611.6884093376764,892.3265228701496,437.52752442996746,8,Ts win,Team 1
52,796.9427975287232,178.99326818675354,636.1900336006937,326.91976112920736,8,Ts win,Team 1
53,797.9000921309344,179.46156351791535,616.558625081292,344.2207111834962,8,Ts win,Team 1
54,664.8150945696943,244.40825190010855,805.7212497290267,298.5094462540717,8,Ts win,Team 1
55,888.1524495989595,428.1799402823018,800.7213310210275,187.33127035830614,8,Ts win,Team 1
56,856.9465640580967,292.1964169381107,603.8600998536743,241.72991313789362,8,Ts win,Team 1
57,851.099880771732,169.67975027144405,672.8155890960329,249.57388707926168,8,Ts win,Team 1
58,869.3921797095165,569.7757328990228,690.9821157598093,518.2486699239956,9,Ts win,Team 1
59,614.7842239323651,442.99717698154177,656.6908939410362,296.871009771987,9,Ts win,Team 1
